42203,5616,8835,5647,42213,32,8733,5616,5171,9175,120439,8516,42230,120249,9014,42197,120440,8559,10226,5356,120440,42221,1053,5712,5646,8835,119885,84,79,32,5397,5647,5583,5319,984,5331,83,84,79,7441
87,10521,9175,8559,48,1064,5331,32,1354,8835,67,72,73,5647,5647,3303,10521,32,71,8834,8834,8834,78,68,32,5574,5458,32,81,5176,12456,172,120249,10521,5397,8907,120440,32,5196,8835
5646,32,77,119885,1029,5171,42200,172,5259,1029,982,32,70,12456,75,42216,42206,918,9915,9014,982,1415,8907,46,7441,120249,83,46,5458,120480,79,87,32,84,12456,86,10226,8907,5646,1064
1053,42203,5196,5712,80,7441,8559,11053,119873,120351,5616,8907,46,32,42200,5319,5259,5583,42212,32,48,120480,74,86,8866,5596,8976,5356,42231,8559,5176,89,66,3515,69,1053,5171,1064,120439,42197
82,67,8976,80,67,42831,120439,3303,65,5319,77,9175,66327,67,76,73,70,70,46,32,76,8835,88,8516,984,32,8867,8733,70,5259,918,76,8867,120439,86,172,1053,918,918,32
42221,3303,69,68,32,5583,77,9915,85,76,65,8733,83,81,3303,5597,9915,5196,5596,42231,5176,5647,42206,74,172,83,84,7441,5397,32,11375,32,8516,11375,42231,32,32,42206,982,3351
69,79,82,78,73,84,12456,5397,5196,8469,3515,82,1029,9915,5196,8834,1354,32,42230,42230,398,42206,89,5458,32,1053,42216,5646,9915,87,5312,81,1064,8866,32,84,72,65,78,9914
5583,8867,32,42231,398,42197,5616,46,5500,77,1354,8976,90,5646,79,5196,172,5259,32,73,982,32,65,42194,5319,66,42213,83,10521,5647,5319,66,66327,76,1064,65,8516,42213,69,5356
9014,11053,70,86,65,918,3351,32,8866,42212,11375,42194,32,11375,32,120480,48,77,5397,8559,42212,8866,120249,32,42212,398,42200,11375,120480,73,9915,42197,74,74,918,48,32,46,42216,119873
5196,32,82,42216,5712,32,398,120439,120480,9175,8867,5597,7441,119885,8907,72,83,69,32,982,120440,3351,398,5171,9915,69,76,42230,70,120480,10521,67,88,8867,3515,5597,42221,1415,215,5500
8733,8867,12456,8834,8867,73,5338,42194,119885,42213,75,89,32,8976,42206,79,7441,120439,5356,1053,5356,69,918,85,84,32,87,65,83,32,5574,74,73,68,32,79,70,32,1354,9175
5583,79,85,67,72,32,84,72,69,32,3351,11053,3351,73,75,69,32,8866,8866,82,68,83,32,42831,84,42194,75,42203,86,86,70,82,5583,71,11053,72,119885,5196,65,9175
